trip_id,pickup_time,drop_time,pickup_area,drop_area,distance_km,fare_inr,ride_type,driver_id,trip_duration_mins,hour,weekday,is_peak
1001,2023-07-18 20:15:00,2023-07-18 20:51:00,Koramangala,Jayanagar,5.9,124.31,Uber,D023,36.0,20,Tuesday,0
1002,2023-07-13 12:29:00,2023-07-13 12:43:00,Indiranagar,Koramangala,14.6,324.03,Auto,D008,14.0,12,Thursday,0
1003,2023-07-17 11:53:00,2023-07-17 12:04:00,Koramangala,MG Road,9.8,242.14,Uber,D050,11.0,11,Monday,0
1004,2023-07-12 15:47:00,2023-07-12 16:23:00,HSR Layout,Marathahalli,9.2,196.68,Ola,D029,36.0,15,Wednesday,0
1005,2023-07-09 11:17:00,2023-07-09 11:54:00,Jayanagar,Marathahalli,3.3,59.62,Uber,D011,37.0,11,Sunday,0
1006,2023-07-05 17:27:00,2023-07-05 18:09:00,Indiranagar,BTM Layout,3.6,86.15,Uber,D049,42.0,17,Wednesday,1
1007,2023-07-07 20:00:00,2023-07-07 20:24:00,Indiranagar,HSR Layout,8.2,155.61,Auto,D030,24.0,20,Friday,0
1008,2023-07-16 15:33:00,2023-07-16 15:55:00,Marathahalli,BTM Layout,8.4,199.8,Uber,D003,22.0,15,Sunday,0
1009,2023-07-14 18:25:00,2023-07-14 18:44:00,Whitefield,Koramangala,13.8,253.81,Ola,D049,19.0,18,Friday,1
1010,2023-07-14 11:13:00,2023-07-14 11:49:00,Koramangala,Marathahalli,14.5,305.26,Uber,D019,36.0,11,Friday,0
1011,2023-07-04 14:48:00,2023-07-04 15:10:00,Indiranagar,MG Road,3.9,72.32,Ola,D004,22.0,14,Tuesday,0
1012,2023-07-26 22:01:00,2023-07-26 22:29:00,Indiranagar,Koramangala,9.5,228.8,Ola,D039,28.0,22,Wednesday,0
1013,2023-07-23 20:38:00,2023-07-23 21:16:00,HSR Layout,Electronic City,10.3,236.88,Uber,D034,38.0,20,Sunday,0
1014,2023-07-11 15:57:00,2023-07-11 16:42:00,Koramangala,Hebbal,7.0,136.66,Uber,D023,45.0,15,Tuesday,0
1015,2023-07-23 21:56:00,2023-07-23 22:35:00,HSR Layout,Whitefield,14.0,274.2,Auto,D032,39.0,21,Sunday,0
1016,2023-07-27 22:21:00,2023-07-27 22:31:00,Whitefield,HSR Layout,10.6,216.77,Auto,D036,10.0,22,Thursday,0
1017,2023-07-14 07:52:00,2023-07-14 08:18:00,Marathahalli,Koramangala,4.9,88.79,Uber,D039,26.0,7,Friday,1
1018,2023-07-17 19:52:00,2023-07-17 20:36:00,MG Road,BTM Layout,9.7,230.28,Auto,D033,44.0,19,Monday,1
1019,2023-07-21 07:16:00,2023-07-21 07:38:00,Koramangala,Indiranagar,8.7,173.02,Auto,D046,22.0,7,Friday,1
1020,2023-07-20 13:52:00,2023-07-20 14:35:00,Koramangala,Marathahalli,7.9,184.68,Auto,D049,43.0,13,Thursday,0
1021,2023-07-23 07:32:00,2023-07-23 07:56:00,Hebbal,HSR Layout,12.1,298.55,Uber,D026,24.0,7,Sunday,1
1022,2023-07-27 10:32:00,2023-07-27 11:11:00,HSR Layout,MG Road,5.6,126.8,Ola,D008,39.0,10,Thursday,0
1023,2023-07-25 11:43:00,2023-07-25 12:21:00,Koramangala,Indiranagar,5.7,107.02,Auto,D025,38.0,11,Tuesday,0
1024,2023-07-22 20:27:00,2023-07-22 21:00:00,Hebbal,Whitefield,6.2,151.69,Ola,D033,33.0,20,Saturday,0
1025,2023-07-12 18:02:00,2023-07-12 18:28:00,Koramangala,Marathahalli,5.2,114.77,Auto,D027,26.0,18,Wednesday,1
1026,2023-07-25 14:08:00,2023-07-25 14:46:00,HSR Layout,Indiranagar,11.7,249.48,Uber,D016,38.0,14,Tuesday,0
1027,2023-07-27 13:17:00,2023-07-27 14:02:00,Electronic City,Jayanagar,8.3,187.23,Ola,D018,45.0,13,Thursday,0
1028,2023-07-25 21:53:00,2023-07-25 22:29:00,HSR Layout,BTM Layout,13.9,273.15,Ola,D049,36.0,21,Tuesday,0
1029,2023-07-29 12:30:00,2023-07-29 12:51:00,Hebbal,Electronic City,4.3,85.88,Uber,D009,21.0,12,Saturday,0
1030,2023-07-20 21:00:00,2023-07-20 21:28:00,HSR Layout,Marathahalli,10.0,211.04,Uber,D045,28.0,21,Thursday,0
1031,2023-07-21 17:22:00,2023-07-21 18:07:00,Whitefield,HSR Layout,11.4,215.13,Uber,D035,45.0,17,Friday,1
1032,2023-07-19 08:38:00,2023-07-19 09:02:00,Electronic City,Indiranagar,3.7,80.79,Auto,D004,24.0,8,Wednesday,1
1033,2023-07-21 18:01:00,2023-07-21 18:42:00,Hebbal,HSR Layout,3.2,71.74,Auto,D009,41.0,18,Friday,1
1034,2023-07-21 17:15:00,2023-07-21 18:00:00,Hebbal,HSR Layout,5.5,124.67,Ola,D020,45.0,17,Friday,1
1035,2023-07-07 12:58:00,2023-07-07 13:39:00,Koramangala,Hebbal,8.5,171.82,Uber,D006,41.0,12,Friday,0
1036,2023-07-14 16:33:00,2023-07-14 17:08:00,Indiranagar,Koramangala,14.4,334.89,Ola,D023,35.0,16,Friday,0
1037,2023-07-06 09:45:00,2023-07-06 10:23:00,Jayanagar,Whitefield,14.5,290.88,Auto,D011,38.0,9,Thursday,1
1038,2023-07-06 21:05:00,2023-07-06 21:50:00,HSR Layout,Electronic City,9.6,174.53,Ola,D008,45.0,21,Thursday,0
1039,2023-07-23 21:45:00,2023-07-23 22:24:00,Koramangala,Marathahalli,9.3,232.49,Uber,D002,39.0,21,Sunday,0
1040,2023-07-25 20:59:00,2023-07-25 21:41:00,Whitefield,Hebbal,5.4,100.43,Ola,D048,42.0,20,Tuesday,0
1041,2023-07-06 21:20:00,2023-07-06 21:47:00,HSR Layout,Whitefield,9.0,170.53,Uber,D030,27.0,21,Thursday,0
1042,2023-07-29 19:56:00,2023-07-29 20:15:00,Whitefield,HSR Layout,9.5,220.39,Uber,D017,19.0,19,Saturday,1
1043,2023-07-27 09:36:00,2023-07-27 10:15:00,Jayanagar,Hebbal,7.9,192.68,Ola,D033,39.0,9,Thursday,1
1044,2023-07-29 08:24:00,2023-07-29 08:41:00,Jayanagar,MG Road,6.5,131.15,Uber,D013,17.0,8,Saturday,1
1045,2023-07-12 12:40:00,2023-07-12 13:00:00,Koramangala,HSR Layout,7.3,137.57,Uber,D024,20.0,12,Wednesday,0
1046,2023-07-24 10:38:00,2023-07-24 11:09:00,Electronic City,HSR Layout,3.5,86.59,Auto,D043,31.0,10,Monday,0
1047,2023-07-26 15:00:00,2023-07-26 15:16:00,BTM Layout,Koramangala,12.5,229.58,Auto,D034,16.0,15,Wednesday,0
1048,2023-07-26 18:32:00,2023-07-26 18:44:00,Whitefield,Jayanagar,10.6,236.46,Auto,D011,12.0,18,Wednesday,1
1049,2023-07-16 22:45:00,2023-07-16 23:23:00,Electronic City,Indiranagar,4.0,82.21,Auto,D034,38.0,22,Sunday,0
1050,2023-07-20 09:36:00,2023-07-20 10:18:00,Marathahalli,BTM Layout,6.6,146.74,Uber,D016,42.0,9,Thursday,1
1051,2023-07-22 22:44:00,2023-07-22 22:56:00,Whitefield,Hebbal,4.9,112.0,Auto,D041,12.0,22,Saturday,0
1052,2023-07-19 20:18:00,2023-07-19 20:30:00,MG Road,BTM Layout,3.1,60.94,Ola,D002,12.0,20,Wednesday,0
1053,2023-07-18 09:41:00,2023-07-18 09:51:00,BTM Layout,HSR Layout,6.5,148.33,Auto,D027,10.0,9,Tuesday,1
1054,2023-07-03 13:58:00,2023-07-03 14:17:00,BTM Layout,Koramangala,3.0,59.83,Ola,D036,19.0,13,Monday,0
